"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3","3","0.47u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"2","D1","1","LED","LED_SMD:LED_0402_1005Metric",""
"3","J1","1","Conn_01x04_Pin","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"4","R1","1","174k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"5","R2","1","100k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"6","R3","1","1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"7","R4, R5","2","4.7k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"8","U1","1","MMC5603NJ","MMC5603NJ:WLP4_0P82X0P82_MEM",""
"9","U2","1","ADP3331ARTZ-REEL7","ADP3331:SOT95P280X145-6N",""
